name,version,variant,arch,os,filename,date,size,checksum,integrity
njs,0.7.3,,armv7l,linux,njs-0.7.3-armv7l-linux,2022-05-15T02:33:49Z,2109192,sha1:09b3b5474d0dbabc537f3d7a93a5d0f0db71fad9,sha1-09b3b5474d0dbabc537f3d7a93a5d0f0db71fad9
njs,0.7.3,debug,aarch64,linux,njs-0.7.3-debug-aarch64-linux,2022-05-15T02:33:49Z,14197136,sha1:486986acbff3b18e8ebaa4550284fe69436a7d2a,sha1-486986acbff3b18e8ebaa4550284fe69436a7d2a
njs,0.7.3,debug,armv7l,linux,njs-0.7.3-debug-armv7l-linux,2022-05-15T02:33:49Z,11439464,sha1:05ea0af61c68002a0ca80f79e99dc396bc29aab2,sha1-05ea0af61c68002a0ca80f79e99dc396bc29aab2
njs,0.7.3,debug,ppc64le,linux,njs-0.7.3-debug-ppc64le-linux,2022-05-15T02:33:50Z,14028136,sha1:0e2efa696d181d1e030e15e0ec8212bc0e01e975,sha1-0e2efa696d181d1e030e15e0ec8212bc0e01e975
njs,0.7.3,debug,x86_64,darwin,njs-0.7.3-debug-x86_64-darwin,2022-05-15T02:33:50Z,3743080,sha1:49ce9b625eca20d141096f98f14636a76c8925fa,sha1-49ce9b625eca20d141096f98f14636a76c8925fa
njs,0.7.3,debug,x86_64,linux,njs-0.7.3-debug-x86_64-linux,2022-05-15T02:33:50Z,14264576,sha1:3e352040477af37ab837eb5c7e200a6d53d4b23e,sha1-3e352040477af37ab837eb5c7e200a6d53d4b23e
njs,0.7.3,,ppc64le,linux,njs-0.7.3-ppc64le-linux,2022-05-15T02:33:50Z,3394896,sha1:add510e0cca3e1b4a9aa0a379bddbe25c44e2025,sha1-add510e0cca3e1b4a9aa0a379bddbe25c44e2025
njs,0.7.3,,x86_64,darwin,njs-0.7.3-x86_64-darwin,2022-05-15T02:33:50Z,3232768,sha1:41306e9c2c9ae367082885afd29637ccd2f7dcf6,sha1-41306e9c2c9ae367082885afd29637ccd2f7dcf6
njs,0.7.3,,x86_64,linux,njs-0.7.3-x86_64-linux,2022-05-15T02:33:50Z,3223432,sha1:898a77ddd077dd67d8fc2008f9401933e2ff03aa,sha1-898a77ddd077dd67d8fc2008f9401933e2ff03aa
njs,0.7.4,,aarch64,linux,njs-0.7.4-aarch64-linux,2022-05-24T23:45:33Z,2947752,sha1:999bfc8ffc041cc274bf633842978b26a0712ef4,sha1-999bfc8ffc041cc274bf633842978b26a0712ef4
njs,0.7.4,,armv7l,linux,njs-0.7.4-armv7l-linux,2022-05-24T23:45:34Z,2109184,sha1:9256aaf6205d42ccba68265380642753f39dcbf5,sha1-9256aaf6205d42ccba68265380642753f39dcbf5
njs,0.7.4,debug,aarch64,linux,njs-0.7.4-debug-aarch64-linux,2022-05-24T23:45:34Z,14190832,sha1:4891398f869e2377dc6caab3c92eb6de25a26688,sha1-4891398f869e2377dc6caab3c92eb6de25a26688
njs,0.7.4,debug,armv7l,linux,njs-0.7.4-debug-armv7l-linux,2022-05-24T23:45:35Z,11429820,sha1:051fabd6286682207908d5af56403a1f305a1269,sha1-051fabd6286682207908d5af56403a1f305a1269
njs,0.7.4,debug,ppc64le,linux,njs-0.7.4-debug-ppc64le-linux,2022-05-24T23:45:36Z,14021784,sha1:349026657b7edcf60bd62fd35987beb8b5517dfb,sha1-349026657b7edcf60bd62fd35987beb8b5517dfb
njs,0.7.4,debug,x86_64,darwin,njs-0.7.4-debug-x86_64-darwin,2022-05-24T23:45:36Z,3744000,sha1:3dfb2147bcae1aa82b2e67a233ff512f9f9f4497,sha1-3dfb2147bcae1aa82b2e67a233ff512f9f9f4497
njs,0.7.4,debug,x86_64,linux,njs-0.7.4-debug-x86_64-linux,2022-05-24T23:45:37Z,14258312,sha1:aee9ede2bb456f5100dd65645dfe83c4c2db1228,sha1-aee9ede2bb456f5100dd65645dfe83c4c2db1228
njs,0.7.4,,ppc64le,linux,njs-0.7.4-ppc64le-linux,2022-05-24T23:45:37Z,3394896,sha1:b0d54668a0b3d938f49482bca25b144c16b8f89a,sha1-b0d54668a0b3d938f49482bca25b144c16b8f89a
njs,0.7.4,,x86_64,darwin,njs-0.7.4-x86_64-darwin,2022-05-24T23:45:38Z,3232768,sha1:2a9638ebe5b6b414d9c56876b516dc09a2c504fb,sha1-2a9638ebe5b6b414d9c56876b516dc09a2c504fb
njs,0.7.4,,x86_64,linux,njs-0.7.4-x86_64-linux,2022-05-24T23:45:38Z,3219336,sha1:2147f6a927c7d734c28c59fc04a264449abfd61a,sha1-2147f6a927c7d734c28c59fc04a264449abfd61a
njs,0.7.5,,aarch64,linux,njs-0.7.5-aarch64-linux,2022-07-17T02:38:19Z,2947752,sha1:49bc3e7bf44de0c3594b4145bcf2841077eb27ec,sha1-49bc3e7bf44de0c3594b4145bcf2841077eb27ec
njs,0.7.5,,armv7l,linux,njs-0.7.5-armv7l-linux,2022-07-17T02:38:19Z,2109184,sha1:66415a869dd5108911052642ef7636fa6d41463f,sha1-66415a869dd5108911052642ef7636fa6d41463f
